Identifiant;Adresse;Code postal;Commune;Nature de l'opération;Responsable de l'opération;Date de l'opération;Protohistoire;Antiquité;Moyen-Age;Temps modernes;Epoque contemporaine;X;Y;latitude;longitude
1291;11 place Marcelin Berthelot;75005;Paris;Diagnostic;Du Bouétiez Emmanuelle;1993;Non;Oui;Non;Oui;Non;651973.858;6861204.35;48.8490909744788; 2.3455455613308427
1555;2 place Jacques Marette;75015;Paris;Découverte ancienne;;1894;Non;Oui;Non;Non;Non;648647.827;6859409.49;48.83269332250985; 2.300440563034816
1313;1 rue Cujas;75005;Paris;Découverte ancienne;Magne Charles;"1884 ; 1894";Non;Oui;Non;Non;Non;651936.852;6860970.44;48.84698467873489; 2.345067739125234
1316;10 place du Panthéon;75005;Paris;Découverte ancienne;Vacquer Théodore;1855;Non;Oui;Non;Non;Non;651995.76;6860967.98;48.8469669203709; 2.3458706899882675
1796;22 rue du Cloitre Notre-Dame;75004;Paris;Découverte ancienne;Vacquer Théodore;1847;Non;Oui;Oui;Non;Non;652264.804;6861701.49;48.853583294394326; 2.349454304534929
1864;2 rue de Lutèce;75004;Paris;Découverte ancienne;Vacquer Théodore;1860 - 1861;Non;Oui;Non;Non;Non;652066.815;6861901.46;48.85536698054651; 2.3467336433864956
127;4 boulevard de Port-Royal;75005;Paris;Découverte ancienne;Grimault Prudent Aimé;1923;Non;Oui;Oui;Non;Oui;652357.16;6859862.86;48.83705537390763; 2.350918864125306
213;49 rue la Boétie;75008;Paris;Découverte ancienne;Grimault Prudent Aimé;1927;Non;Non;Non;Non;Oui;649662.944;6863932.21;48.87344577891178; 2.313733117318538
186;284 rue de Vaugirard;75015;Paris;Découverte ancienne;Grimault Prudent Aimé;1925-1926;Non;Oui;Non;Non;Non;648534.868;6860071.13;48.838634420674765; 2.2988217928112307
65;13 rue Laplace;75005;Paris;Découverte ancienne;Magne Charles;1909;Non;Non;Oui;Non;Non;652106.483;6861001.08;48.847272791339854; 2.3473756598033395
289;1 allée Louis Aragon;75001;Paris;Découverte ancienne;Grimault Prudent Aimé;1935;Non;Non;Non;Oui;Non;651851.456;6862713.54;48.86265386774189; 2.343706732155108
181;123 boulevard de Port-Royal;75014;Paris;Découverte ancienne;Grimault Prudent Aimé;1924;Non;Non;Oui;Non;Non;651405.692;6860100.95;48.83912553210527; 2.3379295665843993
197;11 avenue Emile Acollas;75007;Paris;Découverte ancienne;Grimault Prudent Aimé;1926;Non;Non;Non;Oui;Non;648722.265;6861547.58;48.851927060314; 2.3011968028636116
153;87 rue Léon Frot;75011;Paris;;;1922;Non;Non;Non;Oui;Non;654791.79;6862150.09;48.85779982773857; 2.3838434808765983
173;154 boulevard Saint-Germain;75006;Paris;Suivi de travaux;Grimault Prudent Aimé;"1922 ; 1923 ; 1924 ; 1925";Non;Non;Oui;Non;Non;651310.357;6861665.5;48.853188287944334; 2.3364516189897295
259;72 rue de la Glacière;75013;Paris;Découverte ancienne;Grimault Prudent Aimé;1929;Oui;Non;Non;Non;Non;651860.975;6859250.65;48.83151286713901; 2.3442284664747564
261;1 rue Montmartre;75001;Paris;Découverte ancienne;;1930;Non;Non;Non;Non;Non;651993.43;6862822.3;48.86364247209526; 2.34562954904184
419;2 rue du Mont-Cenis;75018;Paris;Découverte ancienne;;1949;Non;Non;Oui;Non;Non;651712.362;6865389.57;48.88670829664176; 2.3415067093658246
454;3 rue d'Ulm;75005;Paris;;Travert Louis;1957;Non;Non;Non;Non;Non;651984.434;6860769.14;48.845177965221545; 2.3457388123276326
537;11 rue de Lanneau;75005;Paris;;;1966 - 1967;Non;Oui;Non;Non;Non;652030.804;6861135.71;48.84847793948742; 2.346329274576333
643;90 boulevard Sébastopol;75003;Paris;;;1978;Non;Non;Non;Oui;Non;652510.624;6863083.5;48.866029783806056; 2.352649837729401
556;3 place Saint-Germain-des-Prés;75006;Paris;Fouille;Dérens Jean;1971 - 1972;Non;Non;Oui;Non;Non;651107.009;6861761.04;48.85403203532024; 2.333669512417735
696;1 rue de la Harpe;75005;Paris;Sauvetage urgent;Busson Didier;1983;Non;Oui;Oui;Non;Non;651915.157;6861648.09;48.85307708042285; 2.3446954959813415
882;21 rue Gracieuse;75005;Paris;Diagnostic;Busson Didier;1994;Non;Non;Non;Non;Non;652393.028;6860514.62;48.84291931007946; 2.351334562010828
887;5 rue Sainte-Croix de la Bretonnerie;75004;Paris;Diagnostic;Karst Nathalie;1995;Non;Non;Oui;Oui;Non;652833.95;6862156.12;48.85771371639309; 2.35715996594539
764;31 rue d'Ulm;75005;Paris;Fouille;Marquis Philippe;1990;Non;Oui;Non;Non;Non;651900.539;6860524.04;48.842967478920485; 2.3446234288681373
868;1 rue de Harlay;75001;Paris;Diagnostic;Brut Catherine;1993;Non;Non;Non;Non;Non;651848.269;6862042.06;48.85661508562499; 2.3437393600798866
1999;7 esplanade Henri de France;75015;Paris;Diagnostic;Watrin Luc;1996;Non;Non;Oui;Non;Non;646479.832;6860130.7;48.83900280547284; 2.2708173592992025
1809;14 rue Pierre Nicole;75005;Paris;Étude documentaire;;1920;Non;Non;Non;Non;Oui;651569.913;6860389.81;48.84173561062955; 2.340133994677796
1170;11 rue des Gravilliers;75003;Paris;Étude documentaire;Karst Nathalie;2006;Non;Non;Oui;Non;Non;652855.774;6862809.44;48.863590541151126; 2.3573849349458524
1383;4 passage Goix;75019;Paris;Diagnostic;Glisoni Steve;2004;Non;Non;Non;Non;Oui;653506.334;6865179.24;48.884948859894465; 2.3659928693636245
1179;30 boulevard Saint-Michel;75006;Paris;Découverte ancienne;Vacquer Théodore;;Non;Oui;Non;Non;Non;651739.525;6861325.98;48.8501672333911; 2.3423386383887004
1158;61 boulevard Saint-Jacques;75014;;Découverte ancienne;Vacquer Théodore;1853;Non;Oui;Non;Non;Non;651226.713;6859417.52;48.832965877733756; 2.3355695408496513
1159;24 rue de Poissy;75005;Paris;Fouille;Prié Arnaud;2006 - 2008;Non;Non;Oui;Non;Non;652462.912;6861162.69;48.84875254943612; 2.352214279787045
1049;1 place Maubert;75005;Paris;Découverte ancienne;Grimault Prudent Aimé;1928;Non;Non;Non;Non;Non;652197.588;6861303.05;48.84999524391305; 2.3485831058006506
938;19 quai de Conti;75006;Paris;Diagnostic;Brut Catherine;2003;Non;Non;Non;Non;Non;651427.518;6862106.45;48.85716253467321; 2.3379978491835165
1085;60w quai des Tuileries;75001;Paris;Fouille;Celly Paul;2004;Non;Non;Non;Non;Non;650301.411;6862846.88;48.86373522950387; 2.3225641260483365
774;4 rue de la Collégiale;75005;Paris;Sauvetage urgent;Busson Didier;1989;Non;Oui;Oui;Non;Non;652477.239;6859904.72;48.8374406802698; 2.3525500587070227
115;1 rue Le Goff;75005;Paris;Découverte ancienne;Citerne Auguste;1913;Non;Oui;Non;Non;Non;651700.159;6860954.16;48.846820547373646; 2.3418444414217934
787;1 place Baudoyer;75004;Paris;Sauvetage urgent;Valencia Luis;1993 - 1994;Non;Oui;Oui;Non;Non;652682.042;6861991.86;48.85622538400638; 2.355107942670081
2067;99 rue de Rivoli;75001;Paris;Découverte ancienne;Vacquer Théodore;1883;Non;Non;Non;Oui;Non;651200.419;6862726.93;48.86272523692416; 2.3348315912127386
1453;51 boulevard Saint-Michel;75005;;Découverte ancienne;Vacquer Théodore;1862;Non;Oui;Non;Non;Non;651691.969;6861127.77;48.84838124777422; 2.3417131237721662
2278;25 boulevard Saint-Germain;75005;Paris;Découverte ancienne;Vacquer Théodore;1886;Non;Non;Oui;Non;Non;652486.359;6861231.19;48.84937036909767; 2.3525261218912425
1844;6 rue des Prêtres Saint-Séverin;75005;Paris;Découverte ancienne;Sellier Charles;1899;Non;Non;Oui;Non;Non;651944.213;6861535.22;48.852064225039406; 2.3451042126379025
1846;79 rue Galande;75005;Paris;Découverte ancienne;;1840;Non;Non;Oui;Non;Non;652043.243;6861535.51;48.852074283672366; 2.346453680699974
2155;19 rue de Vaugirard;75006;Paris;Découverte ancienne;Vacquer Théodore;1844;Non;Oui;Non;Non;Non;651131.891;6861189.19;48.84889135163435; 2.334074319713294
1929;62 rue de l'Hôtel de Ville;75004;Paris;Découverte ancienne;Vacquer Théodore;1882;Non;Oui;Oui;Non;Non;652680.711;6861824.81;48.854723046238554; 2.3551083966838378
2169;1 place de la Sorbonne;75005;Paris;Découverte ancienne;Vacquer Théodore;1889;Non;Oui;Non;Non;Non;651755.938;6861129.5;48.848401553436474; 2.3425845845034488
219;1 place de la Bastille;75004;Paris;;;1933;Non;Non;Non;Oui;Non;653627.725;6861627.73;48.85301953187467; 2.368035730027262
232;1 rue François-Miron;75004;Paris;Découverte ancienne;Grimault Prudent Aimé;1928;Non;Non;Oui;Non;Non;652644.203;6861959.92;48.8559353431048; 2.3545958196741967
1272;8 rue des Rosiers;75004;Paris;Diagnostic;Dufour Jean-Yves;1997;Non;Non;Oui;Oui;Non;653066.718;6862074.04;48.85699259623934; 2.360341352548962
1352;82 avenue de Choisy;75013;Paris;Diagnostic;Caparros Thierry;2005;Non;Non;Non;Non;Oui;653121.936;6858449.46;48.82440055837578; 2.361493340342524
2018;1 rue Sibour;75010;Paris;Découverte ancienne;Magne Charles;1913;Non;Non;Non;Non;Non;652947.272;6864074.12;48.874970248289515; 2.3584920267508442
1900;1 rue François Miron;75004;Paris;Découverte ancienne;Vacquer Théodore;1847;Non;Oui;Oui;Non;Non;652644.203;6861959.92;48.8559353431048; 2.3545958196741967
1472;4 rue Valette;75005;Paris;Découverte ancienne;Vacquer Théodore;1854;Non;Oui;Non;Non;Non;652057.09;6861029.53;48.84752503124228; 2.3466994251768583
1475;2w rue de Médicis;75006;Paris;Découverte ancienne;;1956;Non;Oui;Non;Non;Non;651460.033;6861033.01;48.847511598805134; 2.338563528236437
35;186 rue Saint-Honoré;75001;Paris;;;1921;Non;Non;Non;Non;Non;651482.249;6862695.07;48.86246003158571; 2.338676564684345
1804;1 rue Saint-Médard;75005;Paris;Découverte ancienne;Sellier Charles;1899;Non;Non;Non;Oui;Non;652382.99;6860577.37;48.84348287103124; 2.351190771150412
2133;68 boulevard Saint-Marcel;75005;Paris;Découverte ancienne;Vacquer Théodore;;Non;Non;Oui;Non;Non;652617.697;6859946.62;48.8378278855662; 2.354458905261754
2094;23 rue Soufflot;75005;Paris;Découverte ancienne;Vacquer Théodore;1860;Non;Oui;Non;Non;Non;651645.09;6860990.2;48.84714056886432; 2.3410899825602955
386;10 rue Cassette;75006;Paris;Découverte ancienne;;1956;Non;Non;Non;Oui;Non;650888.979;6861322.55;48.85007217256017; 2.330748914098206
1476;2w rue de Médicis;75006;Paris;Découverte ancienne;Högström A.;1953;Non;Oui;Non;Non;Non;651460.033;6861033.01;48.847511598805134; 2.338563528236437
59;3 rue Gabriel Vicaire;75003;Paris;Découverte ancienne;Magne Charles;1914;Non;Non;Non;Non;Non;653165.259;6862964.75;48.86500980619067; 2.3615861730361427
2097;13 rue Victor Cousin;75005;Paris;Découverte ancienne;Vacquer Théodore;1862;Non;Oui;Non;Non;Non;651734.726;6861030.47;48.847509400329244; 2.3423067843711673
1962;91 boulevard Saint-Germain;75006;Paris;Découverte ancienne;Sellier Charles;1905;Non;Non;Oui;Non;Non;651533.257;6861527.3;48.85196228095454; 2.339504938891821
1529;22 rue Gay-Lussac;75005;Paris;Découverte ancienne;Vacquer Théodore;1865;Non;Oui;Non;Non;Non;651675.301;6860755.07;48.845028306634; 2.3415283526708506
2238;21 rue Cambacérès;75008;Paris;Découverte ancienne;Vacquer Théodore;;Non;Non;Non;Non;Non;649966.293;6863890.3;48.87309250408339; 2.317873535363734
1941;2 rue Pierre Dac;75018;Paris;Découverte ancienne;;;Non;Oui;Non;Non;Non;651512.141;6865735.76;48.88980641970329; 2.338736910304125
1344;94 boulevard Diderot;75012;Paris;Étude documentaire;Drwila Gabriel;1994;Non;Non;Non;Non;Non;654838.329;6860920.0;48.84674093737575; 2.3846084063299244
2276;4 rue Pierre Sarrazin;75006;Paris;Découverte ancienne;Vacquer Théodore;1844;Non;Non;Oui;Non;Non;651728.016;6861410.48;48.850926284164295; 2.342172215726033
11;58 boulevard Saint-Jacques;75014;Paris;Découverte ancienne;;1892;Non;Non;Non;Oui;Non;651100.274;6859550.46;48.83415178258383; 2.333831887145465
1331;13 rue de l'Ecole Polytechnique;75005;Paris;Découverte ancienne;Magne Charles;1894;Non;Oui;Non;Non;Non;652119.771;6861056.23;48.847769786441575; 2.3475505114723116
1608;2 rue des Orfèvres;75001;Paris;Découverte ancienne;Magne Charles;1912;Non;Non;Oui;Oui;Non;651958.972;6862229.73;48.858311001521585; 2.3452268552313633
1512;84 rue de Vaugirard;75006;;Découverte ancienne;;1644;Non;Oui;Non;Non;Non;650665.118;6861022.97;48.847360918538605; 2.327733194907488
2255;2 rue de la Cité;75004;Paris;Découverte ancienne;Vacquer Théodore;1847;Non;Non;Oui;Non;Non;652117.648;6861795.55;48.854418338857386; 2.3474383270203294
2262;89 rue Saint-Denis;75001;Paris;Découverte ancienne;Vacquer Théodore;1844;Non;Non;Oui;Non;Non;652255.782;6862641.47;48.86203583818258; 2.349225781283315
2268;15 rue de l'Estrapade;75005;Paris;Découverte ancienne;Vacquer Théodore;1844;Non;Non;Oui;Non;Non;652056.086;6860715.85;48.84470403669137; 2.3467211072015126
1266;6 place Paul Painlevé;75005;Paris;Étude documentaire;Renel François;2008;Non;Oui;Non;Non;Non;651856.689;6861343.35;48.850332260063155; 2.343933229841042
1761;168 boulevard Saint-Germain;75006;Paris;Découverte ancienne;Vacquer Théodore;1873-1874;Non;Oui;Oui;Non;Non;651221.268;6861699.32;48.85348564460286; 2.3352336809996754
1293;16 rue de l'Ecole Polytechnique;75005;Paris;Fouille;Marcille Catherine;1996;Non;Oui;Non;Oui;Non;652119.957;6861072.31;48.847914398273424; 2.3475512355606654
1528;1 rue du Sommerard;75005;Paris;Découverte ancienne;;;Non;Oui;Non;Non;Non;652126.131;6861265.4;48.84965134467039; 2.3476136244384525
2072;47 rue Raynouard;75016;Paris;Diagnostic;Viré Marc;2002;Non;Non;Oui;Non;Non;647232.557;6861942.27;48.855356114205804; 2.280847467838777
1896;86 rue de Rivoli;75004;Paris;Découverte ancienne;Vacquer Théodore;1852-1853;Non;Oui;Non;Non;Non;652304.295;6862200.74;48.85807597467166; 2.3499364594598258
1771;5 passage de la Petite Boucherie;75006;Paris;Découverte ancienne;Sellier Charles;1899;Non;Non;Oui;Non;Non;651250.334;6861709.72;48.85358139786382; 2.3356285867373074
1581;2 rue de la Collégiale;75005;Paris;Découverte ancienne;Vacquer Théodore;1872;Non;Oui;Oui;Oui;Non;652483.232;6859892.02;48.83732691027935; 2.3526331221572905
1582;6 rue de la Collégiale;75005;;Découverte ancienne;Toulouze Eugène;1880-1882;Non;Oui;Oui;Non;Non;652471.098;6859917.73;48.837557218131785; 2.3524649441065346
1307;71 rue du Cardinal Lemoine;75005;;Découverte ancienne;Toulouze Eugène;1885;Non;Oui;Non;Non;Non;652320.634;6860803.15;48.84550871834386; 2.3503158616099986
1874;23 quai de Conti;75006;Paris;Fouille;Celly Paul;2015;Non;Non;Oui;Oui;Non;651380.464;6862121.0;48.85728980480506; 2.337354908993945
1793;66 boulevard Saint-Marcel;75005;Paris;Découverte ancienne;Sellier Charles;1900;Non;Non;Non;Oui;Non;652633.541;6859954.11;48.83789636331588; 2.3546739224522573
2196;45 rue du Château d'Eau;75010;Paris;Découverte ancienne;Vacquer Théodore;1893;Non;Non;Oui;Oui;Non;652828.424;6863721.86;48.87179373248631; 2.3569108605752827
1264;15 rue du Temple;75004;Paris;Sauvetage urgent;Prié Arnaud;1997;Non;Oui;Oui;Oui;Non;652543.494;6862236.46;48.85841487482333; 2.353192462698246
31;1 quai des Célestins;75004;Paris;Découverte ancienne;Magne Charles;1912 - 1913;Non;Non;Oui;Oui;Non;653181.239;6861453.13;48.851417125937175; 2.361970479763773
68;21 place Joffre;75007;Paris;Découverte ancienne;;1915;Non;Non;Non;Oui;Non;648777.048;6861505.07;48.851549058036674; 2.3019484584008203
295;19 avenue du Parc de Montsouris;75014;Paris;Découverte ancienne;Grimault Prudent Aimé;1935;Non;Non;Non;Oui;Non;651113.704;6858277.09;48.822701245955926; 2.334161112231601
272;130 boulevard de Belleville;75020;Paris;Découverte ancienne;Grimault Prudent Aimé;1932;Non;Non;Non;Oui;Non;654340.958;6863720.1;48.87188692673194; 2.3775305264498727
162;14 rue des Francs Bourgeois;75003;Paris;Découverte ancienne;Grimault Prudent Aimé;1924;Non;Non;Non;Oui;Non;653227.333;6862078.44;48.857043828061; 2.3625298121423226
341;66 boulevard Saint-Marcel;75005;Paris;Découverte ancienne;Magne Charles;1913;Non;Oui;Oui;Non;Non;652633.541;6859954.11;48.83789636331588; 2.3546739224522573
257;2 Allée des Justes de France;75004;Paris;Découverte ancienne;Grimault Prudent Aimé;1931;Non;Non;Oui;Non;Non;652766.863;6861861.54;48.855059687213114; 2.3562783875392572
263;3 place de la Madeleine;75008;Paris;Découverte ancienne;;1930;Non;Non;Non;Non;Oui;650366.796;6863484.59;48.86947501391568; 2.3233808551367474
265;1 boulevard Poissonière;75002;Paris;;;1930;Non;Non;Non;Non;Non;652149.155;6863589.82;48.87055626171774; 2.347665688719872
267;1 place du Châtelet;75001;Paris;Découverte ancienne;Grimault Prudent Aimé;1925;Non;Non;Oui;Non;Non;652070.678;6862151.29;48.85761396469893; 2.3467581215100473
249;1 boulevard du Temple;75003;Paris;;;1928;Non;Non;Non;Non;Non;653520.284;6862752.84;48.863129791195924; 2.3664485587251893
234;15 rue des Carmes;75005;Paris;Découverte ancienne;Grimault Prudent Aimé;1928;Non;Non;Non;Non;Non;652107.677;6861139.03;48.84851352356395; 2.3473763923548145
497;11 avenue des Gobelins;75013;Paris;Découverte ancienne;Travert Louis;1962;Non;Oui;Oui;Non;Non;652379.553;6859722.93;48.835798601914725; 2.3512395933282515
421;3 rue Suger;75006;Paris;;;1949;Non;Non;Non;Non;Non;651722.779;6861635.14;48.85294628044282; 2.3420753425197804
435;2 place Marcelin Berthelot;75005;Paris;;Duval Paul-Marie;1955;Non;Oui;Non;Non;Non;652025.598;6861187.46;48.84894292881781; 2.3462524980671855
401;10 boulevard du Palais;75001;Paris;Découverte ancienne;Sellier Charles;1907-1909;Non;Non;Oui;Non;Non;651934.563;6861822.8;48.85464968182187; 2.344940198902075
402;34 quai des Orfèvres;75001;Paris;Découverte ancienne;;1911;Non;Non;Non;Non;Non;651848.885;6861871.04;48.85507715613601; 2.343767125681232
567;2w rue de Médicis;75006;Paris;Suivi de travaux;Petit Michel;1973;Non;Oui;Non;Non;Non;651460.033;6861033.01;48.847511598805134; 2.338563528236437
568;26 rue de Vaugirard;75006;Paris;Sauvetage urgent;Servat Edmond;1973 - 1974;Non;Oui;Non;Non;Non;651322.583;6861241.96;48.84938029026178; 2.336666716920333
456;87 rue Léon Frot;75011;Paris;Suivi de travaux;;1957;Non;Non;Non;Non;Non;654791.79;6862150.09;48.85779982773857; 2.3838434808765983
499;2w rue de Médicis;75006;Paris;Sauvetage urgent;Högström A.;1962;Oui;Oui;Non;Non;Non;651460.033;6861033.01;48.847511598805134; 2.338563528236437
509;14 rue Charlemagne;75004;Paris;Découverte ancienne;;1963;Non;Non;Oui;Non;Non;653075.433;6861767.44;48.8542360011783; 2.3604939668458145
668;1 rue de Lutèce;75004;Paris;Fouille;Munoz-Lacasta Juan;1986 - 1987;Non;Oui;Oui;Non;Non;652061.674;6861857.84;48.85497425523114; 2.3466685010211537
687;79 rue Galande;75005;Paris;Sauvetage urgent;DAH;1982;Non;Oui;Non;Non;Non;652043.243;6861535.51;48.852074283672366; 2.346453680699974
593;9 boulevard du Palais;75004;Paris;Suivi de travaux;Le Hallé Guy;1976;Non;Non;Oui;Oui;Non;651977.89;6861824.22;48.854665709715775; 2.3455304931250485
697;59 rue Galande;75005;Paris;Suivi de travaux;Marquis Philippe;1982;Non;Oui;Non;Non;Non;652070.342;6861493.19;48.851695656020034; 2.3468277356430853
921;47 rue Raynouard;75016;Paris;Diagnostic;Robin Sylvie;2007;Non;Non;Non;Non;Non;647232.557;6861942.27;48.855356114205804; 2.280847467838777
931;25 quai Branly;75007;Paris;Diagnostic;Chaussé Christine;2002;Non;Non;Non;Non;Non;648560.793;6862649.71;48.86182543634626; 2.2988630480586423
333;81 boulevard Saint-Marcel;75013;Paris;Découverte ancienne;Magne Charles;1911;Non;Oui;Oui;Non;Non;652491.642;6859840.88;48.83686763398219; 2.3527534053631323
1098;80 rue de Lourmel;75015;Paris;Diagnostic;Griselin Sylvain;2011;Non;Non;Non;Non;Oui;647712.063;6860821.11;48.84531279123897; 2.2875200299060916
2010;63 rue de Lancry;75010;Paris;Sauvetage urgent;Lanchon Yves;1994;Oui;Non;Oui;Oui;Non;653272.044;6863782.12;48.872368003432165; 2.3629518313553604
1154;218 rue Saint-Jacques;75005;Paris;Découverte ancienne;Vacquer Théodore;;Non;Oui;Non;Non;Non;651733.977;6860758.03;48.84505930561722; 2.3423274983027365
940;39 rue de Rivoli;75004;Paris;Fouille;Lagarde Françoise;2003;Non;Oui;Oui;Non;Non;652297.715;6862177.58;48.85786723006171; 2.349849380831571
1176;5 rue de la Sorbonne;75005;Paris;Découverte ancienne;Vacquer Théodore;1864;Non;Oui;Non;Non;Non;651828.816;6861266.31;48.849637368764874; 2.343562139033775
1631;6 rue du Petit Moine;75005;Paris;Découverte ancienne;Vacquer Théodore;;Non;Non;Non;Non;Non;652390.475;6859985.41;48.838159926258065; 2.351359009163493
1632;1 rue du Petit Moine;75005;Paris;Découverte ancienne;Vacquer Théodore;;Non;Non;Non;Non;Non;652420.173;6859983.04;48.838140832968676; 2.3517638667692626
1083;140 rue de Rivoli;75001;Paris;Fouille;Peixoto Xavier;2009;Non;Non;Oui;Non;Non;651801.268;6862453.05;48.86030751986172; 2.3430522117017625
494;6 rue du Petit-Pont;75005;Paris;Découverte ancienne;;1962;Non;Oui;Non;Non;Non;652031.037;6861573.14;48.85241177021668; 2.3462831017611463
1454;58 boulevard Saint-Michel;75006;Paris;Découverte ancienne;Vacquer Théodore;1860;Non;Oui;Non;Non;Non;651626.259;6861052.51;48.8476994804025; 2.34082630566904
1848;5 rue Cujas;75005;Paris;Découverte ancienne;Vacquer Théodore;1873;Non;Non;Non;Non;Non;651845.837;6861002.89;48.847269732387154; 2.3438239059375667
1481;9 rue Geffroy;75013;Paris;Diagnostic;Prié Arnaud;1996;Non;Non;Non;Oui;Oui;652387.273;6859678.14;48.83539637246201; 2.3513497750155463
1406;3 rue Le Goff;75005;Paris;Découverte ancienne;Vacquer Théodore;1874;Non;Oui;Non;Non;Non;651681.658;6860919.41;48.8465066273789; 2.3415962986210697
1986;7 rue du Fer à Moulin;75005;Paris;Diagnostic;Prié Arnaud;1999;Non;Non;Non;Non;Non;652681.292;6860110.55;48.83930673561715; 2.355307057568969
2201;12 quai de Gesvres;75004;Paris;Découverte ancienne;Vacquer Théodore;1855;Non;Non;Non;Non;Non;652211.381;6862072.24;48.85691351084301; 2.3486846010080624
1930;6 rue Perrault;75001;Paris;Découverte ancienne;;1810;Non;Non;Non;Non;Non;651726.507;6862456.54;48.860333280023404; 2.3420328718199674
1989;48 rue du Château des Rentiers;75013;Paris;Diagnostic;Prié Arnaud;2005;Non;Non;Non;Non;Non;653737.973;6858570.13;48.82553034226567; 2.369870649460514
1108;57 rue de la Chapelle;75018;Paris;Diagnostic;Celly Paul;2015;Non;Oui;Oui;Oui;Non;653028.161;6866300.1;48.8949937104235; 2.359348579470165
1835;1 boulevard Saint-Michel;75005;Paris;Découverte ancienne;Magne Charles;1913;Non;Non;Non;Non;Oui;651874.808;6861637.09;48.85297519952662; 2.3441468859295416
987;29 bis rue des Francs-Bourgeois;75004;Paris;Sondage;Busson Didier;2013 - 2014;Non;Non;Oui;Non;Non;653111.256;6862091.89;48.85715633582782; 2.3609463706082425
991;12 boulevard Davout;75020;Paris;Découverte fortuite;;2013;Non;Non;Non;Non;Oui;656826.095;6861187.01;48.849278418983644; 2.411666393488452
1653;151b rue Saint-Honoré;75001;Paris;Découverte ancienne;;1898;Non;Non;Non;Oui;Non;651491.23;6862667.75;48.86221499639208; 2.3388020933697566
1660;1 rue Scipion;75005;Paris;Découverte ancienne;Magne Charles;1881;Non;Non;Oui;Non;Non;652594.241;6859944.35;48.83780574634945; 2.354139605644701
1508;57 avenue Denfert-Rochereau;75014;Paris;Découverte ancienne;Magne Charles;1896;Non;Oui;Non;Non;Non;651277.076;6859970.48;48.83794246346155; 2.336192271093719
1509;28 rue du Faubourg-Saint-Jacques;75014;Paris;Découverte ancienne;Magne Charles;1899;Non;Oui;Non;Non;Non;651441.846;6859880.61;48.837146649375505; 2.3384472731530392
1800;21 rue Valette;75005;Paris;Découverte ancienne;Vacquer Théodore;1857;Non;Oui;Oui;Non;Non;652050.336;6860967.67;48.84696816017738; 2.3466143707610336
1803;1 rue Mouffetard;75005;Paris;Découverte ancienne;Vacquer Théodore;1846;Non;Oui;Oui;Non;Non;652243.406;6860742.39;48.84495656692337; 2.3492704152081196
373;11 place Marcelin Berthelot;75005;Paris;Découverte ancienne;Grimault Prudent Aimé;1929;Non;Non;Oui;Non;Non;651973.858;6861204.35;48.8490909744788; 2.3455455613308427
1357;3 rue Edmond Flamand;75013;Paris;Diagnostic;Granchon Philippe;2000;Non;Non;Non;Non;Non;653864.1;6859833.55;48.83690139964773; 2.3714515566354617
1327;3 avenue Octave Gréard;75007;Paris;Diagnostic;Mazières Thomas;2011;Oui;Non;Non;Oui;Oui;648157.739;6862045.73;48.85636162756724; 2.2934432155994413
1424;1 rue des Prêtres Saint-Séverin;75005;Paris;Découverte ancienne;Jollois Jean-Baptiste Prosper;;Non;Oui;Oui;Non;Non;651962.584;6861545.87;48.852161423743574; 2.345353353992622
914;2 boulevard du Palais;75001;Paris;Suivi de travaux;Brut Catherine;2000;Non;Non;Oui;Non;Non;652007.387;6861936.89;48.85568113909493; 2.3459197555926217
1602;38 avenue des Gobelins;75013;Paris;Découverte ancienne;Magne Charles;1882;Non;Oui;Non;Non;Non;652470.649;6859682.24;48.83543944320258; 2.3524851353173157
2045;12 rue du Buisson Saint-Louis;75010;Paris;Diagnostic;Sethian Eddy;1999;Non;Non;Oui;Non;Oui;654037.561;6863760.13;48.872225355421676; 2.373390158966773
1440;123 rue Saint-Jacques;75005;Paris;Découverte ancienne;Vacquer Théodore;1885;Non;Oui;Non;Non;Non;651872.356;6861085.83;48.84801757273941; 2.3441758659850076
1445;254 rue Saint-Jacques;75005;Paris;Découverte ancienne;Vacquer Théodore;1865;Non;Oui;Non;Non;Non;651655.875;6860533.46;48.84303383933639; 2.341288857077517
1339;48 rue Saint-Jacques;75005;Paris;Découverte ancienne;Vacquer Théodore;1854;Non;Oui;Non;Non;Non;651895.346;6861213.48;48.84916723236816; 2.344474690874718
1610;25 avenue des Gobelins;75013;Paris;Découverte fortuite;Magne Charles;1907;Non;Oui;Non;Non;Non;652457.949;6859813.12;48.836615519813684; 2.352297499610583
1268;57 rue Cuvier;75005;Paris;Diagnostic;Samzun Anaïck;2008;Non;Non;Oui;Oui;Non;652753.8;6860670.2;48.8443449864674; 2.356232734565824
1818;1 rue Clovis;75005;Paris;Découverte ancienne;Sellier Charles;1901;Non;Non;Oui;Non;Non;652320.309;6860846.12;48.84589515017165; 2.3503066155624404
1479;2w rue de Médicis;75006;Paris;Découverte ancienne;;1801 - 1811;Non;Oui;Non;Non;Non;651460.033;6861033.01;48.847511598805134; 2.338563528236437
2091;79 rue de la Verrerie;75004;Paris;Découverte ancienne;Vacquer Théodore;;Non;Oui;Oui;Non;Non;652417.071;6862242.55;48.85846028914661; 2.3514687788611464
